"","Regional District","Year","Gender","Total"
"0","British Columbia","2015","T","4692953"
"0","British Columbia","2016","T","4751612"
"1000","East Kootenay","2015","T","58704"
"1000","East Kootenay","2016","T","58960"
"3000","Central Kootenay","2015","T","60296"
"3000","Central Kootenay","2016","T","60775"
"5000","Kootenay-Boundary","2015","T","30293"
"5000","Kootenay-Boundary","2016","T","29927"
"7000","Okanagan-Similkameen","2015","T","81464"
"7000","Okanagan-Similkameen","2016","T","80681"
"9000","Fraser Valley","2015","T","297069"
"9000","Fraser Valley","2016","T","301260"
"15000","Greater Vancouver","2015","T","2516548"
"15000","Greater Vancouver","2016","T","2558010"
"17000","Capital","2015","T","377830"
"17000","Capital","2016","T","382646"
"19000","Cowichan Valley","2015","T","83131"
"19000","Cowichan Valley","2016","T","84013"
"21000","Nanaimo","2015","T","154152"
"21000","Nanaimo","2016","T","157576"
"23000","Alberni-Clayoquot","2015","T","30440"
"23000","Alberni-Clayoquot","2016","T","30721"
"24000","Strathcona","2015","T","45871"
"24000","Strathcona","2016","T","46187"
"26000","Comox Valley","2015","T","64294"
"26000","Comox Valley","2016","T","64847"
"27000","Powell River","2015","T","20139"
"27000","Powell River","2016","T","20353"
"29000","Sunshine Coast","2015","T","29390"
"29000","Sunshine Coast","2016","T","29243"
"31000","Squamish-Lillooet","2015","T","40592"
"31000","Squamish-Lillooet","2016","T","41531"
"33000","Thompson-Nicola","2015","T","134314"
"33000","Thompson-Nicola","2016","T","135016"
"35000","Central Okanagan","2015","T","193936"
"35000","Central Okanagan","2016","T","197018"
"37000","North Okanagan","2015","T","84865"
"37000","North Okanagan","2016","T","85165"
"39000","Columbia-Shuswap","2015","T","51611"
"39000","Columbia-Shuswap","2016","T","52076"
"41000","Cariboo","2015","T","63300"
"41000","Cariboo","2016","T","63092"
"43000","Mount Waddington","2015","T","11352"
"43000","Mount Waddington","2016","T","11126"
"45000","Central Coast","2015","T","3274"
"45000","Central Coast","2016","T","3272"
"47000","Skeena-Queen Charlotte","2015","T","17611"
"47000","Skeena-Queen Charlotte","2016","T","17349"
"49000","Kitimat-Stikine","2015","T","37202"
"49000","Kitimat-Stikine","2016","T","36308"
"51000","Bulkley-Nechako","2015","T","40447"
"51000","Bulkley-Nechako","2016","T","40386"
"53000","Fraser-Fort George","2015","T","91922"
"53000","Fraser-Fort George","2016","T","90941"
"55000","Peace River","2015","T","66244"
"55000","Peace River","2016","T","66477"
"57000","Stikine","2015","T","662"
"57000","Stikine","2016","T","655"
"59000","Northern Rockies","2015","T","6000"
"59000","Northern Rockies","2016","T","6001"
